"BMI"	"BISS"
32	4.94
21.62	5.79
26.6	3.73
28.04	6.63
26.82	5.56
24.08	5.18
32.76	4.35
24.14	5.94
35.48	3.77
24.31	1.13
31.65	4.5
36.92	3
17.19	6.16
23.15	5.94
23.93	6.91
28.06	3.62
23.12	6.88
10.39	7.2
11.55	7.97
31.73	5.32
23	6.14
15.09	4.82
23.72	4.99
31.17	5
34.82	2.49
22.34	4.57
23.27	5.92
15.19	7.17
27.12	5.29
21.21	4.26
27.09	3.26
28.43	6.5
30.2	4.64
21.38	5.51
27.36	4.5
15.43	4.58
20.44	6.31
20.08	5.28
11.69	6.36
24.84	6.19
25.75	5.93
22.71	7.05
28.72	3.87
20.75	6.33
17.3	7.72
26.97	3.26
20.29	4.41
32.4	2.56
22.33	3.38
